,auc,ap,f1,precision,recall,fp,fn,capture_5,capture_10,capture_20
Logistique,0.7941919687325418,0.07594814810592233,0.18107833163784334,0.14735099337748345,0.23482849604221637,1030,580,33.245382585751976,47.4934036939314,64.37994722955145
Random Forest,0.7919257858317248,0.07854106840777995,0.1329335332333833,0.10699919549477072,0.17546174142480211,1110,625,27.96833773087071,43.403693931398415,61.477572559366756
XGBoost,0.8276278745333969,0.13320593225859506,0.20363636363636364,0.18834080717488788,0.22163588390501318,724,590,38.39050131926121,52.24274406332454,67.81002638522428
HistGradientBoosting,0.7845108961203948,0.08666340977786689,0.13789632611977856,0.1114727420667209,0.18073878627968337,1092,621,27.70448548812665,42.21635883905013,60.29023746701847
