OBJET,famille_mat,DIAMETRE,age,score_pred,top_pct,y_reel,renouvele
410005667,Fonte_grise,100.0,69.0,0.03583885356783867,5.8,1,0
410109241,Plastique,125.0,48.0,0.0358292605727911,5.8,1,0
410920392,Fonte_grise,100.0,48.0,0.0358292605727911,5.8,1,0
410961937,Fonte,100.0,33.0,0.035715020075440404,5.8,1,0
410016503,Fonte_grise,150.0,59.0,0.035498540848493576,5.9,1,0
414000358,Fonte_grise,100.0,73.0,0.03549351748079062,5.9,1,0
410531653,Plastique,50.0,48.0,0.035281234234571454,5.9,1,0
410531681,Plastique,50.0,48.0,0.035281234234571454,5.9,1,0
410066961,Fonte_grise,80.0,38.0,0.03517201170325279,6.0,1,0
410114763,Fonte,100.0,48.0,0.03500586431473494,6.0,1,0
410529930,Fonte_grise,100.0,43.0,0.03490720242261887,6.0,1,0
410117165,Fonte_grise,100.0,48.0,0.03487823680043221,6.0,1,0
417003202,Fonte_grise,100.0,53.0,0.03487823680043221,6.1,1,0
410085398,Fonte,50.0,48.0,0.03486805045977235,6.1,1,0
410109275,Plastique,90.0,48.0,0.03418042100965977,6.2,1,0
410526055,Fonte_grise,100.0,53.0,0.0341257244348526,6.2,1,0
410041932,Fonte,150.0,47.0,0.0341257244348526,6.2,1,0
410066777,Fonte_grise,100.0,58.0,0.0341257244348526,6.2,1,0
410128004,Fonte_grise,80.0,38.0,0.0341052720323205,6.2,1,0
410853930,Fonte_grise,150.0,38.0,0.03409406412392855,6.2,1,0
410128383,Amiante_ciment,60.0,58.0,0.033949538320302966,6.2,1,0
410515402,Fonte,60.0,48.0,0.033897651545703414,6.2,1,0
410532365,Amiante_ciment,80.0,57.0,0.03388459682464599,6.2,1,0
417001086,Plastique,51.0,39.0,0.03378998134285212,6.3,1,0
410025887,Fonte,100.0,53.0,0.033405096363276245,6.3,1,0
410800159,Plastique,25.0,32.0,0.03339849542826414,6.3,1,0
410108896,Fonte,100.0,50.0,0.03336472660303116,6.4,1,0
410003192,Fonte_grise,80.0,69.0,0.03336472660303116,6.4,1,0
410820591,Fonte,200.0,53.0,0.03336472660303116,6.4,1,0
410118285,Fonte_grise,60.0,53.0,0.033302403055131435,6.4,1,0
410915247,Fonte_grise,80.0,68.0,0.03297168333083391,6.5,1,0
410913161,Fonte_grise,100.0,68.0,0.03294172575697303,6.5,1,0
410124730,Fonte_grise,80.0,41.0,0.03261221423745155,6.5,1,0
410113267,Plastique,53.0,48.0,0.03258176259696484,6.6,1,0
410530659,Plastique,63.0,68.0,0.03254133034497499,6.6,1,0
412001696,Plastique,36.0,47.0,0.03242366733029485,6.6,1,0
410038443,Fonte_grise,150.0,69.0,0.03237108662724495,6.6,1,0
410006454,Fonte_grise,100.0,69.0,0.03197949752211571,6.7,1,0
410052278,Fonte_grise,100.0,69.0,0.03197949752211571,6.8,1,0
410011178,Fonte_grise,150.0,69.0,0.03197949752211571,6.8,1,0
410031065,Fonte_grise,150.0,69.0,0.031919272243976594,6.8,1,0
410128072,Plastique,50.0,38.0,0.03188647758215666,6.8,1,0
410851505,Plastique,50.0,38.0,0.031672720052301886,6.8,1,0
410127760,Plastique,50.0,38.0,0.031672720052301886,6.8,1,0
410518496,Fonte,150.0,55.0,0.03160721901804209,6.9,1,0
410024659,Fonte_grise,80.0,56.0,0.031539431773126125,6.9,1,0
410021739,Fonte_grise,150.0,69.0,0.031527237966656685,6.9,1,0
414502215,Fonte_grise,100.0,38.0,0.03147148080170155,6.9,1,0
410532239,Amiante_ciment,125.0,57.0,0.03145809825509786,6.9,1,0
410532140,Plastique,75.0,36.0,0.031453074887394905,6.9,1,0
410093892,Plastique,51.0,38.0,0.03145128767937422,6.9,1,0
410121633,Fonte_grise,80.0,20.0,0.03119532484561205,7.0,1,0
410525523,Fonte_grise,100.0,53.0,0.030982039868831635,7.0,1,0
410125880,Fonte_grise,200.0,33.0,0.030982039868831635,7.0,1,0
410800645,Fonte,150.0,43.0,0.03089124206453562,7.1,1,0
410037565,Fonte_grise,300.0,62.0,0.03076680824160576,7.1,1,0
410072516,Fonte,60.0,38.0,0.030762060079723597,7.1,1,0
410032226,Fonte_grise,125.0,88.0,0.03048635683953762,7.1,1,0
415500980,Acier,150.0,51.0,0.03047323701903224,7.1,1,0
410109263,Plastique,90.0,48.0,0.03046598732471466,7.1,1,0
410100932,Plastique,36.0,58.0,0.03043300178833306,7.2,1,0
410128177,Plastique,63.0,38.0,0.03042556568980217,7.2,1,0
410120467,Plastique,32.0,38.0,0.03040103241801262,7.2,1,0
410100261,Fonte_grise,100.0,38.0,0.03034400176256895,7.2,1,0
410124710,Fonte_grise,150.0,31.0,0.030337218940258027,7.2,1,0
410126811,Fonte_grise,80.0,48.0,0.0303065937012434,7.2,1,0
414501437,Fonte_grise,100.0,68.0,0.030135267600417136,7.2,1,0
410125814,Fonte_grise,150.0,37.0,0.030130244232714175,7.3,1,0
410820561,Fonte,200.0,53.0,0.029938663821667433,7.3,1,0
410027920,Fonte_grise,80.0,69.0,0.029713474959135056,7.4,1,0
410856479,Fonte_grise,150.0,69.0,0.029642591066658498,7.4,1,0
416005035,Fonte_grise,125.0,48.0,0.029642591066658498,7.4,1,0
410123210,Fonte_grise,100.0,48.0,0.029642591066658498,7.4,1,0
410820087,Fonte_grise,40.0,69.0,0.02962621720507741,7.4,1,0
410530889,Fonte,100.0,59.0,0.029508942179381846,7.4,1,0
410532164,Plastique,160.0,21.0,0.029481605626642704,7.4,1,0
410128246,Plastique,50.0,38.0,0.029481605626642704,7.4,1,0
410108485,Fonte,150.0,48.0,0.02937773186713457,7.5,1,0
410120830,Plastique,93.0,38.0,0.029325253888964654,7.5,1,0
410908989,Fonte_grise,100.0,68.0,0.029290474113076927,7.5,1,0
410036421,Fonte,300.0,48.0,0.028933913353830575,7.6,1,0
410512491,Fonte,100.0,54.0,0.028890078701078892,7.6,1,0
410103260,Amiante_ciment,350.0,58.0,0.02883830722421408,7.6,1,0
417003239,Plastique,40.0,48.0,0.028610724583268167,7.7,1,0
410120417,Fonte_grise,100.0,38.0,0.02857274152338505,7.7,1,0
410810781,Fonte_grise,40.0,69.0,0.02855539247393608,7.7,1,0
410067622,Fonte_grise,100.0,48.0,0.028513064980506896,7.7,1,0
410136258,Fonte_grise,80.0,43.0,0.028513064980506896,7.7,1,0
410053078,Plastique,51.0,58.0,0.028420886117964984,7.8,1,0
417003054,Fonte,125.0,59.0,0.02840559892356396,7.8,1,0
410052280,Fonte_grise,100.0,69.0,0.028274872899055482,7.8,1,0
410908932,Fonte_grise,150.0,58.0,0.028274872899055482,7.8,1,0
410531697,Fonte_grise,100.0,48.0,0.028274872899055482,7.8,1,0
410022718,Fonte_grise,40.0,69.0,0.028274872899055482,7.8,1,0
410017949,Fonte_grise,80.0,69.0,0.028223615884780884,7.8,1,0
410070912,Plastique,50.0,25.0,0.028221797943115235,7.8,1,0
410042186,Plastique,50.0,58.0,0.02814945038408041,7.8,1,0
410095295,Fonte,60.0,38.0,0.027649405878037214,7.9,1,0
416002483,Plastique,200.0,41.0,0.027607668563723563,7.9,1,0
410913271,Fonte_grise,40.0,68.0,0.027604978531599045,8.0,1,0
414501710,Fonte_grise,100.0,38.0,0.027591054514050483,8.0,1,0
410040395,Fonte,100.0,42.0,0.027522360533475877,8.0,1,0
410067606,Fonte_grise,100.0,42.0,0.027405696362257002,8.0,1,0
414502411,Acier,150.0,49.0,0.027359868958592416,8.0,1,0
