MATERIAU,nb_troncons,longueur_totale,age_moyen,age_median,diametre_moyen,pct_troncons,pct_longueur
FT,97354,3782187.757,27.348651120256058,24.0,149.28266236037112,53.469174790608264,53.610426003430014
FTG,41909,1751625.021,63.72907438955139,64.0,132.10924530558546,23.017437869010024,24.82831884807379
PEHD,7918,399648.561,16.737387148167816,11.0,81.2575508656641,4.348757380200467,5.664797990849132
PVC,3643,282587.726,46.219221967963385,44.0,97.59496503496503,2.000823836331182,4.005525200636028
POLY,5873,236986.55299999999,48.16450055699963,53.0,40.391931330472104,3.2255938486887272,3.359153717289779
BTM,2067,156216.783,51.28897523069451,54.0,721.3642960812772,1.1352464643690787,2.214286763002544
ACIE,1413,151118.123,48.21028037383178,54.0,233.21797593772115,0.7760538239736372,2.1420160688412735
FTVI,12123,112060.539,4.576589952981935,4.0,193.15144766146994,6.658245228614582,1.5883963515151271
AUTRE,5640,93400.353,34.53061224489796,37.0,116.4814311594203,3.097624605245091,1.323898503963335
A.C,320,34741.027,59.095541401273884,63.0,152.421875,0.17575175065220378,0.4924349019478527
BIOR,253,18194.347999999998,18.869565217391305,17.0,130.77075098814228,0.1389537278593986,0.25789485075916463
FTBLU,179,8212.009,7.921787709497207,7.0,104.86033519553072,0.09831113552107648,0.1164006995737312
COMP,18,4616.956999999999,35.333333333333336,34.0,146.94444444444446,0.009886035974186462,0.06544281974140984
FTTT,310,4477.572,2.8483870967741933,2.0,197.58064516129033,0.1702595084443224,0.06346711422159312
BA,56,4335.951,16.25,4.0,1535.0,0.03075655636413566,0.061459714634679447
VP,32,2913.7889999999998,46.28125,46.5,91.75,0.017575175065220376,0.04130135244740265
PRV,107,2584.292,1.8076923076923077,0.0,1343.3962264150944,0.05876699162433063,0.03663091415301626
FER,66,2464.373,60.25806451612903,63.0,41.13636363636363,0.03624879857201702,0.034931128449885364
PEBD,42,2127.075,45.857142857142854,54.0,54.523809523809526,0.023067417273101742,0.030150115281874904
AFCO,19,1424.06,54.0,50.0,87.15789473684211,0.010435260194974599,0.02018526529074282
PB,70,1406.968,74.1896551724138,89.0,34.30882352941177,0.03844569545516957,0.01994299561506246
FTTTVI,97,731.816,2.0927835051546393,2.0,149.48453608247422,0.05327474941644927,0.01037308828561314
GALV,8,376.518,63.75,64.0,33.0,0.004393793766305094,0.005336935042582408
GALERIE,2,234.30700000000002,74.0,74.0,,0.0010984484415762735,0.003321172530987513
CENT,2,144.47,59.0,59.0,45.0,0.0010984484415762735,0.00204778259100994
GRES,2,67.301,69.0,69.0,80.0,0.0010984484415762735,0.0009539545660521906
INOX,13,63.9,5.923076923076923,6.0,236.92307692307693,0.007139914870245778,0.000905747266321971
