feature,auc_sans,delta
Longueur,0.7830377789794201,0.05400051265004102
Famille_materiau_TE,0.8333973374265367,0.003640954202924429
Diametre,0.833437402398848,0.00360088923061308
Decennie_pose,0.8349202768133397,0.002118014816121394
Alea_argile,0.8369716431216393,6.66485078217871e-05
Age,0.8376555732716732,-0.0006172816422120864
Age_imputed,0.8378787958167384,-0.0008405041872773245
Nb_fuites_historique,0.8383180230289404,-0.0012797313994793447
Annees_depuis_derniere_fuite,0.8388129457349514,-0.0017746541054902698
